state,year,total_rev,local_rev,state_rev,fed_rev
South Carolina,2006,13493,6125,6041,1327
South Carolina,2007,13491,6299,5904,1288
South Carolina,2008,13747,5562,6953,1232
South Carolina,2009,13248,5654,6324,1270
South Carolina,2010,13189,5610,5774,1805
South Carolina,2011,12827,5546,5565,1717
South Carolina,2012,12712,5578,5782,1352
South Carolina,2013,12850,5644,5949,1257
South Carolina,2014,12638,5436,5991,1211
South Carolina,2015,12723,5489,6023,1211
South Carolina,2016,13321,5750,6355,1215
South Carolina,2017,13977,5903,6865,1209
South Dakota,1995,10265,6586,2694,986
South Dakota,1996,10326,6303,3042,981
South Dakota,1997,10682,5881,3792,1008
South Dakota,1998,11261,6165,4002,1093
South Dakota,1999,11561,6234,4140,1186
South Dakota,2000,11774,6236,4101,1437
South Dakota,2001,11759,6172,4199,1388
South Dakota,2002,12088,5943,4494,1651
South Dakota,2003,12160,6153,4137,1870
South Dakota,2004,12445,6275,4241,1929
South Dakota,2005,12412,6202,4127,2082
South Dakota,2006,12467,6349,4082,2036
South Dakota,2007,12452,6473,4072,1907
South Dakota,2008,12357,6384,4095,1877
South Dakota,2009,12056,6172,3937,1946
South Dakota,2010,12759,6352,3934,2473
South Dakota,2011,12227,6224,3530,2472
South Dakota,2012,11710,6231,3562,1917
South Dakota,2013,11321,6138,3508,1674
South Dakota,2014,11228,6223,3451,1554
South Dakota,2015,11484,6351,3454,1679
South Dakota,2016,11703,6596,3526,1581
South Dakota,2017,12268,6535,4171,1561
Tennessee,1995,9028,3923,4329,776
Tennessee,1996,9286,4100,4421,765
Tennessee,1997,9598,4190,4623,785
Tennessee,1998,10302,4514,4911,877
Tennessee,1999,10438,4687,4889,862
Tennessee,2000,10397,4765,4732,900
Tennessee,2001,10537,4872,4726,938
Tennessee,2002,10641,4948,4680,1012
Tennessee,2003,10645,4861,4704,1080
Tennessee,2004,10771,4942,4655,1175
Tennessee,2005,10643,4780,4632,1231
Tennessee,2006,10540,4840,4538,1162
Tennessee,2007,10338,4709,4536,1093
Tennessee,2008,10551,4611,4843,1097
Tennessee,2009,10313,4375,4832,1106
Tennessee,2010,10552,4365,4814,1374
Tennessee,2011,10416,4142,4747,1527
Tennessee,2012,10360,4276,4634,1451
Tennessee,2013,10065,4123,4626,1316
Tennessee,2014,10146,4203,4740,1203
Tennessee,2015,10248,4278,4753,1217
Tennessee,2016,10330,4412,4737,1181
Tennessee,2017,10705,4570,4906,1229
Texas,1995,11336,5681,4827,828
Texas,1996,11778,5717,5209,852
Texas,1997,11689,5835,5002,852
Texas,1998,11952,5865,5194,894
Texas,1999,12071,6099,5030,943
Texas,2000,12767,6178,5569,1020
Texas,2001,13007,6514,5383,1110
Texas,2002,13151,6733,5231,1187
Texas,2003,13437,6844,5300,1293
Texas,2004,13035,6821,4841,1373
Texas,2005,12793,6917,4485,1390
Texas,2006,12879,7085,4306,1488
Texas,2007,13013,6943,4768,1302
Texas,2008,12707,5908,5558,1240
Texas,2009,12763,6122,5334,1307
Texas,2010,13034,5983,4996,2056
Texas,2011,12578,5684,4971,1923
Texas,2012,11865,5563,4839,1463
Texas,2013,11430,5584,4544,1303
Texas,2014,11592,5660,4690,1242
Texas,2015,11913,5959,4705,1249
Texas,2016,12356,6192,4905,1259
Texas,2017,12262,6395,4629,1238
Utah,1995,8396,3282,4538,576
Utah,1996,8495,2934,4999,562
Utah,1997,8834,2744,5524,566
Utah,1998,9064,2901,5504,659
Utah,1999,9341,2965,5705,671
Utah,2000,9416,3141,5575,701
Utah,2001,9756,3291,5652,813
Utah,2002,9845,3247,5774,824
Utah,2003,9565,3338,5348,879
Utah,2004,9508,3297,5258,953
Utah,2005,9585,3362,5226,997
Utah,2006,9480,3345,5169,965
Utah,2007,9579,3402,5281,896
Utah,2008,9518,3199,5462,857
Utah,2009,10133,3305,5562,1267
Utah,2010,9504,3233,5007,1264
Utah,2011,8755,3227,4476,1051
Utah,2012,8522,3172,4485,865
Utah,2013,8308,3057,4460,791
Utah,2014,8185,2925,4550,711
Utah,2015,8540,3124,4696,720
Utah,2016,9009,3415,4897,698
Utah,2017,9190,3408,5050,732
Vermont,1995,18926,13691,4554,682
Vermont,1996,18926,13978,4229,719
Vermont,1997,19490,14343,4429,718
Vermont,1998,20390,14805,4747,838
Vermont,1999,21088,7673,12444,970
Vermont,2000,21447,7704,12614,1129
Vermont,2001,22587,8813,12726,1049
Vermont,2002,23749,9453,13118,1178
Vermont,2003,24574,10026,13194,1354
Vermont,2004,25182,10399,13223,1561
Vermont,2005,25813,7024,17283,1506
Vermont,2006,26421,7340,17520,1562
Vermont,2007,27141,7563,18154,1425
Vermont,2008,26981,7338,18302,1340
Vermont,2009,23995,3533,19014,1448
Vermont,2010,24209,3507,18319,2383
Vermont,2011,22811,3434,17940,1436
Vermont,2012,22839,3396,17835,1608
Vermont,2013,23319,3515,18346,1457
Vermont,2014,23953,3795,18867,1292
Vermont,2015,25295,4376,19602,1316
Vermont,2016,26572,4881,20297,1394
Vermont,2017,27466,5663,20435,1368
Virginia,1995,12165,7683,3777,705
Virginia,1996,12248,7953,3631,664
Virginia,1997,12984,8226,4127,631
Virginia,1998,13199,8394,4118,686
Virginia,1999,13681,8351,4644,687
Virginia,2000,13900,7265,5868,767
Virginia,2001,14089,7399,5901,789
Virginia,2002,14085,7512,5686,887
Virginia,2003,14361,7817,5589,955
Virginia,2004,14479,7978,5507,994
Virginia,2005,14889,7924,5954,1010
Virginia,2006,15139,8241,5900,998
Virginia,2007,15419,8147,6304,968
Virginia,2008,15139,8111,6107,920
Virginia,2009,15250,8019,6317,914
Virginia,2010,14645,7761,5382,1502
Virginia,2011,13876,7458,5067,1351
Virginia,2012,13694,7342,5100,1252
Virginia,2013,13679,7485,5212,983
Virginia,2014,13148,7147,5136,865
Virginia,2015,,,,
Virginia,2016,13652,7476,5288,888
Virginia,2017,13887,7533,5420,934
Washington,1995,12954,3351,8855,748
Washington,1996,13164,3520,8885,760
Washington,1997,13259,3651,8836,772
Washington,1998,13269,3723,8706,840
Washington,1999,13444,3883,8664,897
Washington,2000,13415,3985,8472,958
Washington,2001,13406,3956,8501,949
Washington,2002,13497,3951,8498,1048
Washington,2003,13568,4006,8449,1113
Washington,2004,13315,3976,8204,1135
Washington,2005,13185,3976,8061,1149
Washington,2006,13105,4033,7987,1086
Washington,2007,13390,4152,8201,1037
Washington,2008,13720,4126,8496,1098
Washington,2009,14336,4164,8520,1652
Washington,2010,14059,4231,8176,1652
Washington,2011,13519,4292,7674,1553
Washington,2012,13187,4299,7722,1166
Washington,2013,13059,4310,7637,1112
Washington,2014,13443,4306,8075,1062
Washington,2015,13790,4403,8345,1042
Washington,2016,14854,4619,9145,1090
Washington,2017,15236,4710,9493,1033
West Virginia,1995,12546,3601,7925,1019
West Virginia,1996,12666,3735,7905,1025
West Virginia,1997,13117,3816,8214,1087
West Virginia,1998,13754,3942,8532,1279
West Virginia,1999,13620,4016,8430,1174
West Virginia,2000,13620,4054,8290,1276
West Virginia,2001,13790,4091,8244,1455
West Virginia,2002,14124,4123,8490,1510
West Virginia,2003,14255,4054,8674,1526
West Virginia,2004,14250,4120,8527,1603
West Virginia,2005,14219,4024,8462,1733
West Virginia,2006,14051,4085,8235,1730
West Virginia,2007,13711,4128,7915,1668
West Virginia,2008,13282,4130,7717,1435
West Virginia,2009,13568,4153,7859,1557
West Virginia,2010,13723,4256,7247,2219
West Virginia,2011,14342,4267,8015,2060
West Virginia,2012,15975,6135,8152,1687
West Virginia,2013,13621,4189,7978,1454
West Virginia,2014,13444,4306,7834,1304
West Virginia,2015,13289,4299,7651,1339
West Virginia,2016,13078,4478,7269,1331
West Virginia,2017,13452,4646,7298,1508
Wisconsin,1995,14094,7361,6150,583
Wisconsin,1996,14446,7294,6536,616
Wisconsin,1997,14823,6378,7808,636
Wisconsin,1998,15251,6434,8131,686
Wisconsin,1999,15554,6692,8183,680
Wisconsin,2000,15806,6756,8335,715
Wisconsin,2001,16212,6995,8445,772
Wisconsin,2002,16267,6905,8513,849
Wisconsin,2003,16397,6864,8560,973
Wisconsin,2004,16246,6901,8371,974
Wisconsin,2005,16219,7190,8073,956
Wisconsin,2006,15830,6759,8138,933
Wisconsin,2007,15566,6800,7891,875
Wisconsin,2008,15438,6932,7591,915
Wisconsin,2009,15655,7047,6816,1793
Wisconsin,2010,15801,7309,6930,1561
Wisconsin,2011,15845,7382,7100,1362
Wisconsin,2012,14744,7209,6335,1201
Wisconsin,2013,14266,6981,6221,1064
Wisconsin,2014,14140,6911,6193,1037
Wisconsin,2015,14408,7059,6341,1008
Wisconsin,2016,14529,7181,6376,972
Wisconsin,2017,14878,7323,6568,986
Wyoming,1995,12840,5828,6152,859
Wyoming,1996,13178,5624,6740,814
Wyoming,1997,12950,5814,6289,847
Wyoming,1998,13834,6410,6495,928
Wyoming,1999,15250,6144,7973,1132
Wyoming,2000,15139,6016,7852,1271
Wyoming,2001,15218,6284,7626,1309
Wyoming,2002,17068,7319,8330,1418
Wyoming,2003,17988,7267,9145,1576
Wyoming,2004,17345,6614,9023,1708
Wyoming,2005,19793,7690,10241,1862
Wyoming,2006,18649,8547,8222,1880
Wyoming,2007,23071,10061,11276,1734
Wyoming,2008,23514,9626,12417,1470
Wyoming,2009,23796,8828,13430,1538
Wyoming,2010,23950,9947,12276,1727
Wyoming,2011,22124,8266,11781,2077
Wyoming,2012,21443,8608,10971,1864
Wyoming,2013,20904,8645,10860,1399
Wyoming,2014,20976,8221,11422,1334
Wyoming,2015,22512,8323,12810,1380
Wyoming,2016,23266,8486,13381,1400
Wyoming,2017,21808,7600,12879,1329
